# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/011-sub-floor-mechanism/raw/20260428T215024-ioreport.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/011-sub-floor-mechanism/raw/20260428T215024-ioreport-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  21:51:03    747 mW   2815 mW      0 mW    982 mW   1149 mW   1206 mW     76 mW    304 mW      2 mW      2 mW      0 mW
  21:51:04   1025 mW   2178 mW      0 mW   1097 mW   1102 mW   1252 mW     92 mW    337 mW      0 mW      2 mW      0 mW
  21:51:04    910 mW   2516 mW      0 mW   1204 mW   1286 mW   1492 mW     80 mW    332 mW      2 mW      2 mW      0 mW
  21:51:05    870 mW   2180 mW      0 mW   1092 mW   1156 mW   1325 mW     75 mW    325 mW      2 mW      2 mW      0 mW
  21:51:05    803 mW   3461 mW      0 mW   1216 mW   1351 mW   1647 mW     73 mW    346 mW      2 mW      2 mW      0 mW
  21:51:06    863 mW   3345 mW      0 mW   1146 mW   1330 mW   1495 mW     71 mW    316 mW      2 mW      2 mW      0 mW
  21:51:06    870 mW   2128 mW      0 mW   1037 mW   1095 mW   1149 mW     76 mW    319 mW      2 mW      2 mW      0 mW
  21:51:06    890 mW   2119 mW      0 mW   1065 mW   1108 mW   1138 mW     77 mW    334 mW      2 mW      0 mW      0 mW
  21:51:07    818 mW   2672 mW      0 mW   1090 mW   1114 mW   1202 mW     69 mW    344 mW      2 mW      2 mW      0 mW
  21:51:07    876 mW   5615 mW      0 mW   1414 mW   1588 mW   1746 mW     75 mW    309 mW      0 mW      2 mW      0 mW
  21:51:08    897 mW   2154 mW      0 mW   1184 mW   1258 mW   1490 mW     79 mW    329 mW      2 mW      2 mW      0 mW
  21:51:08    885 mW   2275 mW      0 mW   1076 mW   1114 mW   1148 mW     79 mW    330 mW      2 mW      2 mW      0 mW
  21:51:09    784 mW   1990 mW      0 mW    938 mW    949 mW    986 mW     67 mW    336 mW      2 mW      2 mW      0 mW
  21:51:09    886 mW   2177 mW      0 mW   1089 mW   1134 mW   1309 mW     75 mW    325 mW      2 mW      2 mW      0 mW
  21:51:09    889 mW   2140 mW      0 mW   1064 mW   1193 mW   1227 mW     78 mW    333 mW      2 mW      2 mW      0 mW
  21:51:10    902 mW   2206 mW      0 mW   1057 mW   1085 mW   1199 mW     80 mW    328 mW      2 mW      0 mW      0 mW
  21:51:10   2605 mW   3468 mW      0 mW   1256 mW   1450 mW   1947 mW    192 mW    339 mW      2 mW      2 mW      0 mW
  21:51:11   1596 mW   4437 mW      0 mW   1324 mW   1609 mW   2103 mW    153 mW    332 mW      0 mW      2 mW      0 mW
  21:51:11   1916 mW   4471 mW      0 mW   1333 mW   1635 mW   2110 mW    178 mW    330 mW      2 mW      2 mW      0 mW
  21:51:12   1736 mW   4439 mW      0 mW   1335 mW   1615 mW   2095 mW    163 mW    330 mW      2 mW      2 mW      0 mW
  21:51:12   1564 mW   4251 mW      0 mW   1273 mW   1569 mW   2065 mW    156 mW    326 mW      2 mW      2 mW      0 mW
  21:51:12   1230 mW   4737 mW      0 mW   1329 mW   1631 mW   2107 mW    131 mW    334 mW      2 mW      2 mW      0 mW
