# IOReport telemetry  interval=100ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/011-sub-floor-mechanism/raw/20260428T214621-ioreport.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/011-sub-floor-mechanism/raw/20260428T214621-ioreport-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  21:46:41    885 mW   2982 mW      0 mW   1110 mW   1285 mW   1508 mW     77 mW    325 mW      0 mW      4 mW      0 mW
  21:46:41    932 mW   3052 mW      0 mW   1176 mW   1282 mW   1536 mW     79 mW    337 mW      4 mW      0 mW      0 mW
  21:46:42    847 mW   3349 mW      0 mW   1231 mW   1519 mW   1686 mW     78 mW    325 mW      0 mW      4 mW      0 mW
  21:46:42    899 mW   3327 mW      0 mW   1221 mW   1540 mW   1656 mW     79 mW    330 mW      4 mW      0 mW      0 mW
  21:46:42    731 mW   3250 mW      0 mW   1112 mW   1464 mW   1594 mW     59 mW    326 mW      0 mW      4 mW      0 mW
  21:46:42    923 mW   3614 mW      0 mW   1306 mW   1620 mW   1763 mW     79 mW    333 mW      4 mW      0 mW      0 mW
  21:46:43    878 mW   3146 mW      0 mW   1164 mW   1478 mW   1545 mW     75 mW    325 mW      0 mW      4 mW      0 mW
  21:46:43    865 mW   3290 mW      0 mW   1231 mW   1559 mW   1739 mW     77 mW    321 mW      4 mW      4 mW      0 mW
  21:46:43   1083 mW   3019 mW      0 mW   1192 mW   1409 mW   1648 mW     92 mW    331 mW      0 mW      0 mW      0 mW
  21:46:44    938 mW   3065 mW      0 mW   1156 mW   1347 mW   1568 mW     88 mW    327 mW      4 mW      4 mW      0 mW
  21:46:44    823 mW   2929 mW      0 mW   1070 mW   1197 mW   1412 mW     74 mW    331 mW      4 mW      0 mW      0 mW
  21:46:44    855 mW   3263 mW      0 mW   1191 mW   1361 mW   1702 mW     70 mW    333 mW      0 mW      4 mW      0 mW
  21:46:44   1283 mW   5295 mW      0 mW   1359 mW   1631 mW   2130 mW    112 mW    335 mW      4 mW      0 mW      0 mW
  21:46:45    928 mW   3776 mW      0 mW   1197 mW   1372 mW   1711 mW     84 mW    317 mW      0 mW      4 mW      0 mW
  21:46:45    911 mW   3036 mW      0 mW   1198 mW   1371 mW   1646 mW     79 mW    335 mW      4 mW      0 mW      0 mW
  21:46:45    912 mW   2986 mW      0 mW   1153 mW   1344 mW   1609 mW     77 mW    327 mW      0 mW      4 mW      0 mW
  21:46:45    941 mW   3392 mW      0 mW   1241 mW   1376 mW   1661 mW     82 mW    334 mW      4 mW      0 mW      0 mW
  21:46:46    749 mW   3148 mW      0 mW   1104 mW   1335 mW   1585 mW     66 mW    319 mW      0 mW      4 mW      0 mW
  21:46:46    885 mW   2980 mW      0 mW   1114 mW   1287 mW   1438 mW     74 mW    332 mW      4 mW      0 mW      0 mW
  21:46:46    932 mW   3270 mW      0 mW   1203 mW   1391 mW   1594 mW     79 mW    331 mW      0 mW      4 mW      0 mW
  21:46:46    955 mW   5538 mW      0 mW   1367 mW   1598 mW   1889 mW     84 mW    334 mW      4 mW      4 mW      0 mW
  21:46:47    925 mW   3266 mW      0 mW   1162 mW   1383 mW   1626 mW     78 mW    325 mW      0 mW      0 mW      0 mW
  21:46:47    903 mW   3093 mW      0 mW   1177 mW   1336 mW   1650 mW     78 mW    325 mW      4 mW      4 mW      0 mW
  21:46:47    938 mW   3107 mW      0 mW   1197 mW   1324 mW   1576 mW     79 mW    330 mW      4 mW      0 mW      0 mW
  21:46:48    745 mW   3004 mW      0 mW   1049 mW   1237 mW   1484 mW     63 mW    328 mW      0 mW      4 mW      0 mW
  21:46:48    884 mW   2955 mW      0 mW   1166 mW   1344 mW   1533 mW     78 mW    330 mW      4 mW      0 mW      0 mW
  21:46:48    900 mW   3112 mW      0 mW   1170 mW   1343 mW   1625 mW     81 mW    327 mW      0 mW      4 mW      0 mW
  21:46:48    985 mW   3101 mW      0 mW   1202 mW   1428 mW   1654 mW     82 mW    330 mW      4 mW      0 mW      0 mW
  21:46:49    881 mW   3109 mW      0 mW   1156 mW   1334 mW   1601 mW     78 mW    330 mW      0 mW      4 mW      0 mW
  21:46:49    982 mW   2969 mW      0 mW   1152 mW   1309 mW   1548 mW     79 mW    329 mW      4 mW      0 mW      0 mW
  21:46:49    810 mW   2820 mW      0 mW   1098 mW   1297 mW   1486 mW     76 mW    323 mW      0 mW      4 mW      0 mW
  21:46:49    828 mW   3531 mW      0 mW   1216 mW   1459 mW   1698 mW     67 mW    337 mW      4 mW      0 mW      0 mW
  21:46:50    908 mW   3027 mW      0 mW   1151 mW   1382 mW   1593 mW     78 mW    331 mW      0 mW      4 mW      0 mW
  21:46:50    939 mW   2954 mW      0 mW   1147 mW   1279 mW   1558 mW     81 mW    323 mW      4 mW      4 mW      0 mW
  21:46:50    914 mW   2768 mW      0 mW   1144 mW   1286 mW   1544 mW     76 mW    327 mW      0 mW      0 mW      0 mW
  21:46:51    933 mW   3399 mW      0 mW   1235 mW   1400 mW   1609 mW     81 mW    331 mW      4 mW      4 mW      0 mW
  21:46:51    919 mW   2799 mW      0 mW   1145 mW   1372 mW   1614 mW     81 mW    330 mW      4 mW      0 mW      0 mW
  21:46:51    765 mW   2680 mW      0 mW   1038 mW   1194 mW   1429 mW     69 mW    326 mW      0 mW      4 mW      0 mW
  21:46:51    919 mW   2954 mW      0 mW   1120 mW   1225 mW   1468 mW     76 mW    340 mW      4 mW      0 mW      0 mW
  21:46:52   1082 mW   4072 mW      0 mW   1309 mW   1560 mW   1988 mW     85 mW    328 mW      0 mW      4 mW      0 mW
  21:46:52    976 mW   4165 mW      0 mW   1208 mW   1433 mW   1804 mW     87 mW    324 mW      4 mW      0 mW      0 mW
  21:46:52    924 mW   3167 mW      0 mW   1158 mW   1356 mW   1591 mW     81 mW    330 mW      0 mW      4 mW      0 mW
  21:46:52    944 mW   3181 mW      0 mW   1164 mW   1262 mW   1540 mW     79 mW    331 mW      4 mW      0 mW      0 mW
  21:46:53    877 mW   2896 mW      0 mW   1148 mW   1341 mW   1580 mW     76 mW    323 mW      0 mW      4 mW      0 mW
  21:46:53    738 mW   2738 mW      0 mW   1007 mW   1158 mW   1384 mW     63 mW    329 mW      4 mW      4 mW      0 mW
  21:46:53    934 mW   2807 mW      0 mW   1151 mW   1295 mW   1560 mW     81 mW    331 mW      0 mW      0 mW      0 mW
  21:46:54    927 mW   4308 mW      0 mW   1375 mW   1580 mW   1846 mW     80 mW    334 mW      4 mW      4 mW      0 mW
  21:46:54    873 mW   4507 mW      0 mW   1304 mW   1467 mW   1837 mW     76 mW    329 mW      4 mW      0 mW      0 mW
  21:46:54    832 mW   4673 mW      0 mW   1267 mW   1462 mW   1771 mW     74 mW    324 mW      0 mW      4 mW      0 mW
  21:46:54    904 mW   2931 mW      0 mW   1164 mW   1304 mW   1586 mW     78 mW    334 mW      4 mW      0 mW      0 mW
  21:46:55    790 mW   4199 mW      0 mW   1292 mW   1498 mW   1804 mW     75 mW    325 mW      0 mW      4 mW      0 mW
  21:46:55    812 mW   2801 mW      0 mW   1108 mW   1303 mW   1542 mW     66 mW    328 mW      4 mW      0 mW      0 mW
  21:46:55    910 mW   3107 mW      0 mW   1195 mW   1347 mW   1637 mW     78 mW    331 mW      0 mW      4 mW      0 mW
  21:46:55    927 mW   3231 mW      0 mW   1195 mW   1337 mW   1574 mW     79 mW    331 mW      4 mW      0 mW      0 mW
  21:46:56    899 mW   3642 mW      0 mW   1183 mW   1413 mW   1636 mW     78 mW    323 mW      0 mW      4 mW      0 mW
  21:46:56    884 mW   2827 mW      0 mW   1151 mW   1278 mW   1512 mW     78 mW    332 mW      4 mW      0 mW      0 mW
  21:46:56    908 mW   3197 mW      0 mW   1198 mW   1342 mW   1604 mW     78 mW    325 mW      0 mW      4 mW      0 mW
  21:46:56    754 mW   3136 mW      0 mW   1155 mW   1328 mW   1553 mW     70 mW    332 mW      4 mW      4 mW      0 mW
  21:46:57    861 mW   2918 mW      0 mW   1095 mW   1247 mW   1541 mW     71 mW    327 mW      0 mW      0 mW      0 mW
  21:46:57    938 mW   2936 mW      0 mW   1121 mW   1242 mW   1477 mW     81 mW    327 mW      4 mW      4 mW      0 mW
  21:46:57    854 mW   2773 mW      0 mW   1101 mW   1222 mW   1477 mW     74 mW    331 mW      4 mW      0 mW      0 mW
  21:46:58    872 mW   2869 mW      0 mW   1117 mW   1239 mW   1479 mW     75 mW    322 mW      0 mW      4 mW      0 mW
  21:46:58    926 mW   2835 mW      0 mW   1114 mW   1210 mW   1417 mW     81 mW    337 mW      4 mW      0 mW      0 mW
  21:46:58    885 mW   3086 mW      0 mW   1229 mW   1428 mW   1727 mW     78 mW    329 mW      0 mW      4 mW      0 mW
  21:46:58    754 mW   2898 mW      0 mW   1028 mW   1191 mW   1429 mW     63 mW    334 mW      4 mW      0 mW      0 mW
  21:46:59    850 mW   2898 mW      0 mW   1118 mW   1265 mW   1520 mW     77 mW    325 mW      0 mW      4 mW      0 mW
  21:46:59    953 mW   2980 mW      0 mW   1144 mW   1265 mW   1431 mW     79 mW    332 mW      4 mW      4 mW      0 mW
  21:46:59   1114 mW   5005 mW      0 mW   1335 mW   1591 mW   2101 mW     92 mW    337 mW      0 mW      0 mW      0 mW
