# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/012-gpuph-vs-powermetrics-mhz/raw/20260428T221203-ioreport.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/012-gpuph-vs-powermetrics-mhz/raw/20260428T221203-ioreport-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  22:12:49   2009 mW   1933 mW      0 mW    675 mW   1270 mW   1777 mW    142 mW    322 mW      2 mW      2 mW      0 mW
  22:12:50   2070 mW   1970 mW      0 mW    709 mW   1321 mW   1839 mW    148 mW    336 mW      2 mW      2 mW      0 mW
  22:12:50   2142 mW   2003 mW      0 mW    725 mW   1306 mW   1813 mW    146 mW    322 mW      2 mW      0 mW      0 mW
  22:12:51   2031 mW   1827 mW      0 mW    681 mW   1303 mW   1820 mW    148 mW    334 mW      2 mW      2 mW      0 mW
  22:12:51   2119 mW   2273 mW      0 mW    791 mW   1389 mW   1862 mW    146 mW    327 mW      0 mW      2 mW      0 mW
  22:12:51   2028 mW   2157 mW      0 mW    780 mW   1372 mW   1826 mW    144 mW    324 mW      2 mW      2 mW      0 mW
  22:12:52   2044 mW   2051 mW      0 mW    748 mW   1372 mW   1849 mW    149 mW    331 mW      2 mW      2 mW      0 mW
  22:12:52   2103 mW   2378 mW      0 mW    837 mW   1485 mW   1859 mW    146 mW    328 mW      2 mW      2 mW      0 mW
  22:12:53   2000 mW   1998 mW      0 mW    740 mW   1388 mW   1807 mW    143 mW    321 mW      2 mW      2 mW      0 mW
  22:12:53   2099 mW   1888 mW      0 mW    749 mW   1358 mW   1820 mW    147 mW    327 mW      2 mW      0 mW      0 mW
  22:12:54   1997 mW   1877 mW      0 mW    712 mW   1300 mW   1731 mW    139 mW    310 mW      0 mW      2 mW      0 mW
  22:12:54   2236 mW   2013 mW      0 mW    754 mW   1425 mW   1926 mW    152 mW    349 mW      2 mW      2 mW      0 mW
  22:12:54   2030 mW   1975 mW      0 mW    680 mW   1290 mW   1792 mW    145 mW    323 mW      2 mW      2 mW      0 mW
  22:12:55   1615 mW   1582 mW      0 mW    568 mW   1094 mW   1502 mW    118 mW    314 mW      2 mW      2 mW      0 mW
  22:12:55    200 mW   1914 mW      0 mW    518 mW    708 mW    969 mW     18 mW    325 mW      2 mW      2 mW      0 mW
