sample_idx,sleep_s,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
123,0.1,130177370672666,130177371268541,130177371282083,13542,67834,19250,710125,797209
124,0.1,130177475872916,130177476617333,130177476631875,14542,104209,28375,782333,914917
125,0.1,130177582004625,130177582662166,130177582677916,15750,84375,19417,761333,865125
126,0.1,130177688049750,130177688624583,130177688637666,13083,65667,14125,679541,759333
127,0.1,130177793981625,130177795840791,130177795857166,16375,112625,26333,1917584,2056542
128,0.1,130177901271583,130177901587708,130177901721000,133292,98833,22584,478083,599500
129,0.1,130178003867875,130178004783916,130178004800250,16334,112750,28292,971875,1112917
130,0.1,130178106624333,130178107245333,130178107259083,13750,90041,21584,717083,828708
131,0.1,130178212733166,130178213592833,130178213609958,17125,113791,28875,945292,1087958
132,0.1,130178318962083,130178319415333,130178319426875,11542,44958,12583,547917,605458
133,0.1,130178420070500,130178420709375,130178420722875,13500,66500,18292,723500,808292
134,0.1,130178521336291,130178522185000,130178522198750,13750,111792,41083,907208,1060083
135,0.1,130178624091416,130178624242666,130178624375875,133209,39959,11333,417708,469000
136,0.1,130178729709333,130178730190958,130178730202125,11167,40209,10833,595292,646334
137,0.1,130178835204125,130178836918833,130178836933125,14292,75541,24042,1788500,1888083
138,0.1,130178942333958,130178944211625,130178944224875,13250,165084,65208,1869125,2099417
139,0.1,130179049772708,130179051755708,130179051776208,20500,134084,49625,2036625,2220334
140,0.1,130179155253500,130179156202708,130179156217541,14833,110292,29791,1003500,1143583
141,0.1,130179261681833,130179264022375,130179264036041,13666,154042,41791,2380459,2576292
142,0.1,130179369827416,130179370923041,130179370937666,14625,262542,72083,1103750,1438375
143,0.1,130179476363750,130179478092333,130179478106625,14292,124125,34541,1803084,1961750
144,0.1,130179580806625,130179583998291,130179584012208,13917,175125,82000,3213625,3470750
145,0.1,130179688586000,130179689751958,130179689767833,15875,264583,76125,1087292,1428000
146,0.1,130179794170833,130179795849166,130179795865166,16000,90500,25708,1768042,1884250
147,0.1,130179901378625,130179902200083,130179902215875,15792,130500,27875,925958,1084333
148,0.1,130180007751666,130180009697000,130180009710500,13500,152708,50667,2114667,2318042
149,0.1,130180111054666,130180111645916,130180111661125,15209,95584,21708,689583,806875
150,0.1,130180217211458,130180219314208,130180219329375,15167,172958,70042,2130208,2373208
151,0.1,130180324436916,130180326137750,130180326151041,13291,98291,23917,1776833,1899041
152,0.1,130180431133583,130180433129833,130180433143833,14000,134167,57167,2033250,2224584
153,0.1,130180537835708,130180539624125,130180539639458,15333,140125,60500,1811666,2012291
154,0.1,130180644939458,130180646126375,130180646140166,13791,352959,49541,1267209,1669709
155,0.1,130180747041041,130180748831041,130180748846750,15709,65917,17375,1895166,1978458
156,0.1,130180854201375,130180854824125,130180854838875,14750,77500,20000,728958,826458
157,0.1,130180960314666,130180962186916,130180962206583,19667,171500,58750,1886250,2116500
158,0.1,130181064825541,130181065154333,130181065169875,15542,53625,17667,456625,527917
159,0.1,130181170767708,130181171952000,130181171966916,14916,280458,66792,1104750,1452000
160,0.1,130181277605500,130181279425166,130181279438333,13167,124209,37166,2033084,2194459
161,0.1,130181385341791,130181386325166,130181386345750,20584,263416,60084,913416,1236916
162,0.1,130181489350708,130181491253208,130181491266583,13375,122458,33042,2021417,2176917
163,0.1,130181592277791,130181593171875,130181593191791,19916,232458,42750,821000,1096208
164,0.1,130181696531875,130181698844166,130181698858708,14542,202000,85333,2263083,2550416
165,0.1,130181804608458,130181806729083,130181806748583,19500,217583,53584,2069041,2340208
166,0.1,130181912593333,130181913549583,130181913563625,14042,271917,66458,945334,1283709
167,0.1,130182017589500,130182019750291,130182019770041,19750,220250,50417,2115250,2385917
168,0.1,130182120344875,130182121016041,130182121030125,14084,106042,27875,770625,904542
169,0.1,130182226556875,130182228626375,130182228645708,19333,185500,46875,2077500,2309875
170,0.1,130182334272666,130182336162083,130182336176041,13958,121542,35166,1972875,2129583
171,0.1,130182441705375,130182443575541,130182443589375,13834,121584,34791,2024459,2180834
172,0.1,130182548809458,130182550781083,130182550796291,15208,148417,61292,1981166,2190875
173,0.1,130182651727833,130182653663416,130182653676750,13334,124166,59750,1962917,2146833
174,0.1,130182758589875,130182760322708,130182760335791,13083,133083,55500,1813250,2001833
175,0.1,130182865889583,130182866591500,130182866608041,16541,117042,28583,782125,927750
176,0.1,130182972107125,130182974022750,130182974036458,13708,159917,57708,1930625,2148250
177,0.1,130183079476833,130183080048083,130183080063666,15583,73666,19917,750958,844541
178,0.1,130183185694666,130183186916458,130183186930583,14125,238833,84208,1104125,1427166
179,0.1,130183289810458,130183291663250,130183291677000,13750,120208,41417,1908375,2070000
180,0.1,130183397294750,130183398395041,130183398407208,12167,238084,62750,1011958,1312792
181,0.1,130183502372833,130183503992708,130183504006916,14208,99083,27625,1678709,1805417
182,0.1,130183607199208,130183607794000,130183607809583,15583,99792,18208,685959,803959
183,0.1,130183713950750,130183716035291,130183716049375,14084,163666,52792,2096000,2312458
184,0.1,130183817048458,130183818957416,130183818973375,15959,160167,53667,1961875,2175709
185,0.1,130183924682208,130183926534958,130183926554875,19917,248041,51292,1789375,2088708
186,0.1,130184031121750,130184033072458,130184033087208,14750,132500,69083,1975417,2177000
187,0.1,130184138529500,130184140214791,130184140228000,13209,115417,57583,1719792,1892792
188,0.1,130184244505375,130184246287416,130184246302375,14959,143083,36959,1888875,2068917
