sample_idx,sleep_s,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
164,0.0,130161546852791,130161546941583,130161546949541,7958,8333,3167,211958,223458
165,0.0,130161547101041,130161547194875,130161547202875,8000,14583,5917,245791,266291
166,0.0,130161547409333,130161547526583,130161547534750,8167,20041,7834,211166,239041
167,0.0,130161547672375,130161547787750,130161547795833,8083,14333,5167,198667,218167
168,0.0,130161547909541,130161548016458,130161548024458,8000,11167,3875,196416,211458
169,0.0,130161548138666,130161548247750,130161548255916,8166,9875,6416,245667,261958
170,0.0,130161548427083,130161548532291,130161548540708,8417,9541,3959,250750,264250
171,0.0,130161548712208,130161548802125,130161548810166,8041,12709,4166,226875,243750
172,0.0,130161548971125,130161549069750,130161549077833,8083,9042,3416,189125,201583
173,0.0,130161549192500,130161549289375,130161549297541,8166,8125,3375,185875,197375
174,0.0,130161549403875,130161549504875,130161549513000,8125,8625,3166,187750,199541
175,0.0,130161549622208,130161549720333,130161549728416,8083,7875,3375,185959,197209
176,0.0,130161549834666,130161549932500,130161549940583,8083,10875,2875,227708,241458
177,0.0,130161550090333,130161550180000,130161550188000,8000,8875,4125,186541,199541
178,0.0,130161550303916,130161550401208,130161550409333,8125,8333,3667,165500,177500
179,0.0,130161550495250,130161550583083,130161550591083,8000,8250,3625,184625,196500
180,0.0,130161550705291,130161550792250,130161550800291,8041,8416,2834,193458,204708
181,0.0,130161550924000,130161551011375,130161551019416,8041,8125,3167,176583,187875
182,0.0,130161551125791,130161551212625,130161551220625,8000,7958,3459,177916,189333
183,0.0,130161551328375,130161551423750,130161551431833,8083,8375,2959,197458,208792
184,0.0,130161551551208,130161551653583,130161551661708,8125,11083,2958,226709,240750
185,0.0,130161551805708,130161551906250,130161551914375,8125,8333,3458,231750,243541
186,0.0,130161552062041,130161552146916,130161552154916,8000,8167,2916,182667,193750
187,0.0,130161552269458,130161552351916,130161552359958,8042,7708,3042,180666,191416
188,0.0,130161552485541,130161552595541,130161552603625,8084,13500,4583,190583,208666
189,0.0,130161552722708,130161552816291,130161552824333,8042,10834,3666,180125,194625
190,0.0,130161552932458,130161553016958,130161553024958,8000,8416,3417,178667,190500
191,0.0,130161553137750,130161553227791,130161553235875,8084,8000,3292,193042,204334
192,0.0,130161553364375,130161553478583,130161553486750,8167,8750,3334,272500,284584
193,0.0,130161553670041,130161553783375,130161553791458,8083,11875,4458,207875,224208
194,0.0,130161553913125,130161554012666,130161554020708,8042,9709,7291,229375,246375
195,0.0,130161554204125,130161554327916,130161554335958,8042,16583,6292,223958,246833
196,0.0,130161554472666,130161554584916,130161554593083,8167,12833,4584,204125,221542
197,0.0,130161554712583,130161554822083,130161554830208,8125,14083,3958,189250,207291
198,0.0,130161554937833,130161555053375,130161555061458,8083,13667,4250,240750,258667
199,0.0,130161555222666,130161555328166,130161555336291,8125,9041,4167,267917,281125
