sample_idx,sleep_s,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
176,1.0,4469428016041,4469428878541,4469428887583,9042,211875,44667,734583,991125
177,1.0,4470432925833,4470433289875,4470433297875,8000,200541,33542,220125,454208
178,1.0,4471438629750,4471439247583,4471439257125,9542,74458,18958,658334,751750
179,1.0,4472441261750,4472441608000,4472441617583,9583,135375,31291,282917,449583
180,1.0,4473447021750,4473447723791,4473447732500,8709,79666,33875,737875,851416
181,1.0,4474449997916,4474450441791,4474450450708,8917,66458,16459,491500,574417
182,1.0,4475455842708,4475456675541,4475456684208,8667,168208,42333,788375,998916
183,1.0,4476457454625,4476457792041,4476457801083,9042,139250,30084,269833,439167
184,1.0,4477463261250,4477464060958,4477464070166,9208,153625,37417,790458,981500
185,1.0,4478466300208,4478466703250,4478466712125,8875,146417,38583,333542,518542
186,1.0,4479471832375,4479472441291,4479472450291,9000,69208,17167,670500,756875
187,1.0,4480477832083,4480478486291,4480478495250,8959,122292,37750,625708,785750
188,1.0,4481483891750,4481484551208,4481484560625,9417,125834,28166,600542,754542
189,1.0,4482487308208,4482488032791,4482488042041,9250,136500,30500,679541,846541
190,1.0,4483490604833,4483491107791,4483491117125,9334,75708,20250,521500,617458
191,1.0,4484495965541,4484496768166,4484496777750,9584,157792,39458,740167,937417
192,1.0,4485498783875,4485499013833,4485499022958,9125,81000,18667,240417,340084
193,1.0,4486500718541,4486501366916,4486501378291,11375,70250,27125,699459,796834
194,1.0,4487505136500,4487505890708,4487505912375,21667,135167,32375,841666,1009208
195,1.0,4488511464541,4488512246916,4488512256333,9417,157459,36500,731041,925000
196,1.0,4489517709625,4489518391958,4489518400541,8583,143916,33375,659834,837125
197,1.0,4490523837083,4490524045708,4490524054291,8583,64292,17333,310375,392000
198,1.0,4491529425708,4491530060625,4491530070000,9375,75458,18167,703750,797375
199,1.0,4492532906833,4492533444208,4492533453333,9125,74625,18833,577750,671208
