cell_idx,sweep,m,n,k,n_amp,monotonic_ns_start,monotonic_ns_end,trial_count,p10,p50,p90,p99,min,max
116,square,1536,1536,1536,8,67803978912916,67809014113958,136,28216667,39151000,40457250,44969209,23943792,44999916
117,square,2048,2048,2048,1,67810024453250,67815033136666,404,8082083,13150333,13820083,15983875,7506625,17862750
118,square,2048,2048,2048,2,67816037388083,67821053134833,198,16368125,27342959,28331167,30280333,14703625,30448458
119,square,2048,2048,2048,4,67822060339583,67827061882083,93,34516125,57041209,64592791,69492333,29437333,70350375
120,square,2048,2048,2048,8,67828062467833,67833124878583,47,71318375,117103709,125772833,130512125,59075500,130512125
121,ksweep_128,128,128,2,1,67834129369541,67834693294416,5000,2208,7625,7834,16791,2041,275167
122,ksweep_128,128,128,2,2,67835709520083,67836296481833,5000,2292,7667,7875,78583,2042,293416
123,ksweep_128,128,128,2,4,67837308023583,67837874473916,5000,2292,7750,7959,9875,2042,343334
124,ksweep_128,128,128,2,8,67838892637583,67839481839958,5000,2334,7958,8333,24667,2166,266375
125,ksweep_128,128,128,2,16,67840501038041,67841086010416,5000,2416,8417,8666,22667,2250,268292
126,ksweep_128,128,128,2,64,67842105136541,67842729277041,5000,3166,11542,11750,20125,2916,246750
127,ksweep_128,128,128,2,256,67843748410333,67844360018750,5000,5666,7916,23709,34750,5459,285417
128,ksweep_128,128,128,2,1024,67845379261583,67846173425458,5000,15917,23375,71792,73458,15708,300292
129,ksweep_128,128,128,4,1,67847189941375,67847754569250,5000,2208,4041,7834,10041,2042,313292
130,ksweep_128,128,128,4,2,67848765322750,67849358838708,5000,2250,7709,7958,31583,2083,265167
131,ksweep_128,128,128,4,4,67850377789958,67850945456125,5000,2292,8041,8250,12208,2125,224667
132,ksweep_128,128,128,4,8,67851954951458,67852563932166,5000,2625,9209,9458,20125,2458,238208
133,ksweep_128,128,128,4,16,67853577178666,67854189581083,5000,2750,9833,10084,50250,2541,286417
134,ksweep_128,128,128,4,64,67855208733375,67855817823625,5000,4166,9542,16750,31541,3917,252750
135,ksweep_128,128,128,4,256,67856836708875,67857576794250,5000,10042,44209,44542,64959,9875,355667
136,ksweep_128,128,128,4,1024,67858590898166,67859640529791,5000,33333,49209,153208,183333,33083,439625
137,ksweep_128,128,128,16,1,67860658762791,67861233957541,5000,2667,5417,9459,18834,2458,251416
138,ksweep_128,128,128,16,2,67862252953375,67862832391916,5000,2916,10416,10709,12666,2750,236375
139,ksweep_128,128,128,16,4,67863851549791,67864441694250,5000,3709,7583,13500,23125,3416,251208
140,ksweep_128,128,128,16,8,67865460669625,67866051262041,5000,4417,17250,17625,20458,4250,405250
141,ksweep_128,128,128,16,16,67867067806083,67867713494333,5000,6375,26541,26875,38625,6166,253916
142,ksweep_128,128,128,16,64,67868726238083,67869470983333,5000,17834,21042,80625,91042,17583,315542
143,ksweep_128,128,128,16,256,67870486852458,67871731607416,5000,63625,73125,294417,309625,63208,505000
144,ksweep_128,128,128,16,1024,67872741005458,67875197955750,5000,245375,285375,486667,627208,244500,1418000
145,ksweep_128,128,128,64,1,67876215686541,67876813557083,5000,4166,15125,15459,23875,3958,256083
146,ksweep_128,128,128,64,2,67877832629625,67878471327250,5000,5166,19750,20042,35125,4958,237916
147,ksweep_128,128,128,64,4,67879485505000,67880119904833,5000,7250,16209,29125,37708,6958,278667
148,ksweep_128,128,128,64,8,67881132613791,67881809355000,5000,10917,19917,46958,51750,10708,305875
149,ksweep_128,128,128,64,16,67882828383916,67883646764708,5000,18500,34875,82458,96292,18250,306750
150,ksweep_128,128,128,64,64,67884659592125,67885886919625,5000,63583,72875,293125,326375,63250,554542
151,ksweep_128,128,128,64,256,67886901272666,67889405388791,5000,246416,286458,492458,629708,245542,1328625
152,ksweep_128,128,128,64,1024,67890423314666,67895424983958,3626,974625,1236167,1301792,1380500,968875,4534833
153,ksweep_128,128,128,256,1,67896435990875,67897119773166,5000,10125,38042,38750,43792,9875,273459
154,ksweep_128,128,128,256,2,67898133752750,67898873532458,5000,13959,31708,56291,104500,13625,327709
155,ksweep_128,128,128,256,4,67899884143500,67900725253083,5000,21666,34916,92542,109416,21375,292250
156,ksweep_128,128,128,256,8,67901734786083,67902696922333,5000,36708,41375,162959,189042,36417,491167
157,ksweep_128,128,128,256,16,67903709736666,67904993949250,5000,66750,75833,303583,337708,66416,532958
158,ksweep_128,128,128,256,64,67906013456000,67908509059375,5000,246958,301333,488292,1051084,246333,1409208
159,ksweep_128,128,128,256,256,67909522412375,67914523355166,4362,972542,973375,977625,1019667,971209,4761917
160,ksweep_128,128,128,256,1024,67915542589375,67920545763916,1267,3749333,3751666,3805334,3932167,3746917,14052042
161,ksweep_128,128,128,1024,1,67921552813583,67922454444000,5000,34208,36791,132042,141125,33584,336708
162,ksweep_128,128,128,1024,2,67923464423500,67924599592666,5000,56041,61000,232708,240917,55333,452167
163,ksweep_128,128,128,1024,4,67925618234208,67927223938458,5000,100375,105792,436333,446459,99542,710000
164,ksweep_128,128,128,1024,8,67928241217791,67930347006583,5000,188291,198750,464084,842083,186833,987708
165,ksweep_128,128,128,1024,16,67931357326291,67934396433625,5000,364167,460125,556750,603167,361125,1714833
166,ksweep_128,128,128,1024,64,67935414502000,67940415124708,2903,1420000,1578584,1626166,1646250,1404833,6544208
167,ksweep_128,128,128,1024,256,67941430545291,67946433039416,796,5600417,6219959,6357375,6407833,5555542,19053375
168,ksweep_128,128,128,1024,1024,67947444612833,67952455602333,204,22514042,24689916,25714667,25885625,22405542,32893292
169,ksweep_128,128,128,4096,1,67953466080041,67955370130833,5000,128792,137125,497000,513625,126500,716958
170,ksweep_128,128,128,4096,2,67956389496000,67958812144333,5000,221292,247542,517958,922916,215792,981375
171,ksweep_128,128,128,4096,4,67959831320500,67963020113000,5000,409958,467333,573042,660125,391875,1840958
172,ksweep_128,128,128,4096,8,67964037001708,67968768303500,5000,778209,786375,789166,798000,742750,3750125
173,ksweep_128,128,128,4096,16,67969788589500,67974789342708,2934,1521250,1537667,1546292,1615542,1445125,7012042
174,ksweep_128,128,128,4096,64,67975801040833,67980803383875,799,5940709,6057792,6094417,6196500,5659750,22229000
175,ksweep_128,128,128,4096,256,67981809000583,67986831260833,208,23677875,23989375,24061875,24137084,22378583,32425125
176,ksweep_512,512,512,2,1,67987836720416,67988478890250,5000,4084,8042,14292,31750,3875,247583
177,ksweep_512,512,512,2,2,67989491448833,67990132862708,5000,4125,14041,14375,22875,3833,381583
178,ksweep_512,512,512,2,4,67991146946000,67991814679166,5000,4125,14000,14583,24208,3875,256375
179,ksweep_512,512,512,2,8,67992828748625,67993474709583,5000,4375,6834,17333,32375,4084,239250
180,ksweep_512,512,512,2,16,67994488631916,67995149851375,5000,5334,21625,22125,37625,5083,335167
181,ksweep_512,512,512,2,64,67996163923541,67996942037041,5000,11791,50917,51375,76333,11375,305542
182,ksweep_512,512,512,2,256,67997956156000,67999041509041,5000,38791,51375,177834,194125,38458,537625
183,ksweep_512,512,512,2,1024,68000055755833,68002127722916,5000,145042,174000,528000,684542,144750,947625
184,ksweep_512,512,512,4,1,68003142838250,68003808300750,5000,4084,15000,15791,19750,3833,249167
185,ksweep_512,512,512,4,2,68004822337958,68005439709708,5000,4000,8458,15084,32625,3709,252709
186,ksweep_512,512,512,4,4,68006453640291,68007096345375,5000,4833,19250,19625,31875,4583,389084
187,ksweep_512,512,512,4,8,68008105857333,68008782493958,5000,6375,25916,26333,45750,6041,265042
188,ksweep_512,512,512,4,16,68009796754916,68010487450166,5000,9208,11792,40459,44791,9000,289167
189,ksweep_512,512,512,4,64,68011498827583,68012392405416,5000,27250,35791,124792,133958,26875,371709
190,ksweep_512,512,512,4,256,68013406347125,68015275586666,5000,99792,119750,463542,487167,99459,945083
191,ksweep_512,512,512,4,1024,68016286055250,68019565101500,5000,397125,477708,592875,677375,396792,2059375
192,ksweep_512,512,512,16,1,68020577335458,68021247774125,5000,7000,28042,28500,50875,6583,327708
193,ksweep_512,512,512,16,2,68022262062875,68023016531208,5000,10375,43959,44500,54042,9958,294083
194,ksweep_512,512,512,16,4,68024030620708,68024902139541,5000,17208,41833,76375,111750,16834,346042
195,ksweep_512,512,512,16,8,68025916334958,68026914391750,5000,30834,45500,140458,156042,30541,393125
196,ksweep_512,512,512,16,16,68027926092041,68029316303750,5000,58208,77209,268416,303667,57917,583042
197,ksweep_512,512,512,16,64,68030330579916,68032864615500,5000,222459,267334,566375,651542,222166,1250500
198,ksweep_512,512,512,16,256,68033878990250,68038879724958,4535,867375,931209,1034209,1061667,866833,4279000
199,ksweep_512,512,512,16,1024,68039897122625,68044898829333,1361,3457584,3500833,3543083,3623958,3456791,7751333
200,ksweep_512,512,512,64,1,68045906492166,68046750307958,5000,18291,29792,79458,97458,17625,353042
201,ksweep_512,512,512,64,2,68047764179916,68048813105958,5000,31208,45708,143083,156250,30583,397291
202,ksweep_512,512,512,64,4,68049823688375,68051026342625,5000,57458,69000,264291,287291,57166,586958
203,ksweep_512,512,512,64,8,68052039095500,68053910250333,5000,111083,133125,514458,540750,110708,860958
204,ksweep_512,512,512,64,16,68054922240875,68057374708500,5000,219083,291541,557000,782584,218708,1270959
205,ksweep_512,512,512,64,64,68058388996000,68063390279208,4829,861542,861875,869791,893625,861167,4021417
206,ksweep_512,512,512,64,256,68064407293125,68069408366083,1367,3401625,3456708,3579041,3728750,3400500,11629709
207,ksweep_512,512,512,64,1024,68070414058708,68075417211291,346,13609667,14160375,15129959,16552833,13590375,25491666
208,ksweep_512,512,512,256,1,68076422952250,68077662601541,5000,64375,73542,286083,298667,62708,539125
209,ksweep_512,512,512,256,2,68078676864416,68080543896541,5000,118917,139167,547041,564333,118292,890000
210,ksweep_512,512,512,256,4,68081558020541,68084052970750,5000,225291,298625,568542,1026709,224084,1066333
211,ksweep_512,512,512,256,8,68085069664041,68088553984708,5000,443125,520625,591334,674250,440166,2245209
212,ksweep_512,512,512,256,16,68089568050041,68094568590708,4687,877667,881958,944458,976291,873458,4098958
213,ksweep_512,512,512,256,64,68095581628125,68100585889166,1332,3496791,3552083,3678958,3807292,3479500,15024542
214,ksweep_512,512,512,256,256,68101592936291,68106595909125,328,14419458,15051792,15598083,16070416,13900792,25716250
215,ksweep_512,512,512,1024,1,68107601223458,68110207150458,5000,243042,290334,597084,731583,241875,1327834
216,ksweep_512,512,512,1024,2,68111222778458,68114970586541,5000,556625,570875,578875,798500,554083,2449875
217,ksweep_512,512,512,1024,4,68115981032291,68120981506208,4382,950375,952125,1016125,1055875,947625,4684625
218,ksweep_512,512,512,1024,8,68121991542791,68126993400791,2272,1906750,2032000,2106625,2224375,1897625,9118083
219,ksweep_512,512,512,1024,16,68128001743708,68133004258000,1114,4011209,4346833,4532583,4712417,3802458,13541916
220,ksweep_512,512,512,1024,64,68134011418125,68139012741083,279,16447541,17870041,18666458,19221334,15424166,26713708
221,ksweep_512,512,512,4096,1,68140018361291,68145018587291,4038,1002875,1034125,1151792,1198042,964458,4778834
222,ksweep_512,512,512,4096,2,68146032226958,68151033780083,2083,2043875,2233208,2306708,2375375,1914459,9441458
223,ksweep_512,512,512,4096,4,68152042918166,68157044852750,1042,4364042,4636625,4852584,4932458,3826208,11563125
224,ksweep_512,512,512,4096,8,68158052062250,68163054869000,523,8949542,9443959,9797125,10002208,7742375,23158292
225,ksweep_512,512,512,4096,16,68164061570375,68169063592375,261,17990292,19104541,19716583,20304667,16188792,30561750
226,membound,8,4096,4096,1,68170069181458,68172860619583,5000,306125,342417,537541,826709,302584,908625
227,membound,8,4096,4096,2,68173876646583,68177849012375,5000,608708,613750,624666,736583,605291,1921292
228,membound,8,4096,4096,4,68178861371416,68183862041458,3555,1221458,1230750,1243167,1293083,1210916,3411750
229,membound,8,4096,4096,8,68184873082500,68189875515666,1871,2470834,2491250,2515917,2577125,2437167,6748416
230,membound,8,4096,4096,16,68190880755500,68195882552250,962,4968542,5016583,5058041,5115667,4912833,9764208
231,membound,8,4096,4096,64,68196889712500,68201907034916,247,19905625,20098042,20279292,20635625,19659417,23595750
232,membound,8,4096,4096,256,68202911543333,68207993827583,54,80252584,85606292,118306542,121256834,79420041,122447958
233,membound,4,8192,4096,1,68208999012208,68212209303500,5000,417667,437792,557875,763500,411500,956792
234,membound,4,8192,4096,2,68213226688875,68218228282791,3918,845833,898417,1679167,1917542,827708,3482459
235,membound,4,8192,4096,4,68219240843125,68224241922625,1942,1728750,2178500,3373792,5095500,1684667,6067666
236,membound,4,8192,4096,8,68225250537291,68230256041375,938,3486667,4642292,8139500,12778417,3411167,14659666
237,membound,4,8192,4096,16,68231262664958,68236263191708,452,6991084,10002000,15894250,32414958,6890750,39427792
238,membound,4,8192,4096,64,68237269357625,68242295757708,110,28459125,42996167,65842500,118393417,28161583,127161083
239,membound,4,8192,4096,256,68243301080833,68248463887708,27,117304666,182512958,223489542,478231291,113658333,478231291
240,membound,2,8192,4096,1,68249469041583,68252304765125,5000,344416,362417,582459,704292,339542,986584
241,membound,2,8192,4096,2,68253319215750,68258320970208,3831,698709,836542,1287916,6809958,679958,7353166
242,membound,2,8192,4096,4,68259329819083,68264333432291,2022,1410958,1718958,2651541,8327583,1371417,14905333
243,membound,2,8192,4096,8,68265343898833,68270345026666,1034,2866250,3876375,7134666,16721584,2776792,23059042
244,membound,2,8192,4096,16,68271350704208,68276356532083,526,5899625,8329292,13282166,33354792,5675666,39045042
245,membound,2,8192,4096,64,68277360025083,68282361759958,130,24220750,32950958,57144375,133217000,23275791,136152791
246,membound,2,8192,4096,256,68283373805541,68288503528166,34,98395417,134045750,221009666,515772583,95653250,515772583
