# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/016-matmul-discrimination/raw/20260429T213959.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/016-matmul-discrimination/raw/20260429T213959-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  21:41:07    426 mW   2326 mW      0 mW    352 mW    739 mW    780 mW     43 mW    163 mW      0 mW      2 mW      0 mW
  21:41:08    176 mW   1465 mW      0 mW    393 mW    752 mW    675 mW     18 mW    325 mW      2 mW      2 mW      0 mW
  21:41:08    371 mW   1905 mW      0 mW    475 mW    932 mW   1070 mW     28 mW    247 mW      2 mW      2 mW      0 mW
  21:41:08   1137 mW   5741 mW      0 mW    882 mW   1514 mW   1887 mW     90 mW    267 mW      2 mW      2 mW      0 mW
  21:41:09    161 mW   2118 mW      0 mW    444 mW    836 mW    874 mW     30 mW    289 mW      2 mW      2 mW      0 mW
  21:41:09    124 mW   1228 mW      0 mW    329 mW    644 mW    644 mW     11 mW    221 mW      2 mW      2 mW      0 mW
  21:41:10   1275 mW   2641 mW      0 mW    641 mW   1255 mW   1393 mW     74 mW    362 mW      2 mW      2 mW      0 mW
  21:41:10   1309 mW   3133 mW      0 mW    619 mW   1261 mW   1710 mW     87 mW    215 mW      2 mW      0 mW      0 mW
  21:41:11    371 mW   2516 mW      0 mW    477 mW    936 mW    959 mW     47 mW    324 mW      2 mW      2 mW      0 mW
  21:41:11    101 mW   1411 mW      0 mW    360 mW    680 mW    673 mW      9 mW    235 mW      0 mW      2 mW      0 mW
  21:41:11    814 mW   2382 mW      0 mW    599 mW   1258 mW   1191 mW     36 mW    337 mW      2 mW      2 mW      0 mW
  21:41:12   2016 mW   3307 mW      0 mW    712 mW   1350 mW   1612 mW    100 mW    260 mW      2 mW      2 mW      0 mW
  21:41:12   2654 mW   2985 mW      0 mW    643 mW   1396 mW   1567 mW    125 mW    253 mW      2 mW      2 mW      0 mW
  21:41:13   2054 mW   2545 mW      0 mW    639 mW   1374 mW   1420 mW    108 mW    328 mW      2 mW      2 mW      0 mW
  21:41:13    542 mW   1924 mW      0 mW    323 mW    753 mW    712 mW     43 mW    161 mW      2 mW      0 mW      0 mW
  21:41:14    166 mW   1655 mW      0 mW    446 mW    770 mW    730 mW     16 mW    327 mW      2 mW      2 mW      0 mW
  21:41:14   1440 mW   1487 mW      0 mW    428 mW    968 mW    850 mW     49 mW    185 mW      0 mW      2 mW      0 mW
  21:41:14   3128 mW   2053 mW      0 mW    624 mW   1406 mW   1425 mW    129 mW    335 mW      2 mW      2 mW      0 mW
  21:41:15   2798 mW   1780 mW      0 mW    587 mW   1303 mW   1473 mW    122 mW    257 mW      2 mW      2 mW      0 mW
  21:41:15   3029 mW   1955 mW      0 mW    581 mW   1364 mW   1411 mW    136 mW    253 mW      2 mW      2 mW      0 mW
  21:41:16   2955 mW   1993 mW      0 mW    610 mW   1376 mW   1442 mW    130 mW    331 mW      2 mW      2 mW      0 mW
  21:41:16   2816 mW   1732 mW      0 mW    511 mW   1276 mW   1321 mW    116 mW    180 mW      2 mW      0 mW      0 mW
  21:41:17   2830 mW   1945 mW      0 mW    609 mW   1345 mW   1405 mW    123 mW    322 mW      2 mW      2 mW      0 mW
  21:41:17   2987 mW   1766 mW      0 mW    513 mW   1242 mW   1298 mW    126 mW    181 mW      0 mW      2 mW      0 mW
  21:41:18    194 mW   1583 mW      0 mW    418 mW    838 mW    796 mW     26 mW    311 mW      2 mW      2 mW      0 mW
  21:41:18    105 mW   1241 mW      0 mW    349 mW    682 mW    631 mW     11 mW    252 mW      2 mW      2 mW      0 mW
  21:41:18    900 mW   3257 mW      0 mW    706 mW   1372 mW   1645 mW     64 mW    308 mW      2 mW      2 mW      0 mW
  21:41:19    471 mW   2874 mW      0 mW    515 mW    977 mW   1108 mW     56 mW    273 mW      2 mW      2 mW      0 mW
