# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/016-matmul-discrimination/raw/20260429T213756.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/016-matmul-discrimination/raw/20260429T213756-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  21:38:47    161 mW   1554 mW      0 mW    460 mW    785 mW    845 mW     14 mW    276 mW      2 mW      2 mW      0 mW
  21:38:48   1162 mW   2869 mW      0 mW    737 mW   1298 mW   1689 mW     78 mW    339 mW      2 mW      0 mW      0 mW
  21:38:48    469 mW   3565 mW      0 mW    639 mW   1184 mW   1573 mW     51 mW    228 mW      2 mW      2 mW      0 mW
  21:38:49    193 mW   1718 mW      0 mW    524 mW    797 mW    933 mW     20 mW    327 mW      0 mW      2 mW      0 mW
  21:38:49    140 mW   1459 mW      0 mW    394 mW    664 mW    763 mW      9 mW    228 mW      2 mW      2 mW      0 mW
  21:38:50    834 mW   3508 mW      0 mW    769 mW   1301 mW   1684 mW     61 mW    308 mW      2 mW      2 mW      0 mW
  21:38:50    341 mW   3278 mW      0 mW    626 mW   1068 mW   1355 mW     46 mW    258 mW      2 mW      2 mW      0 mW
  21:38:50    184 mW   1458 mW      0 mW    470 mW    854 mW    939 mW     16 mW    280 mW      2 mW      2 mW      0 mW
  21:38:51    270 mW   1725 mW      0 mW    530 mW    906 mW   1056 mW     21 mW    328 mW      2 mW      2 mW      0 mW
  21:38:51    964 mW   4085 mW      0 mW    777 mW   1373 mW   1835 mW     69 mW    211 mW      2 mW      0 mW      0 mW
  21:38:52    286 mW   2291 mW      0 mW    554 mW    911 mW    929 mW     40 mW    310 mW      2 mW      2 mW      0 mW
  21:38:52    100 mW   1343 mW      0 mW    458 mW    754 mW    621 mW      9 mW    186 mW      0 mW      2 mW      0 mW
  21:38:53    381 mW   1769 mW      0 mW    655 mW   1072 mW   1100 mW     29 mW    336 mW      2 mW      2 mW      0 mW
  21:38:53    810 mW   4979 mW      0 mW    994 mW   1519 mW   1920 mW     55 mW    242 mW      2 mW      2 mW      0 mW
  21:38:53    567 mW   4539 mW      0 mW    856 mW   1318 mW   1561 mW     57 mW    262 mW      2 mW      2 mW      0 mW
  21:38:54    138 mW   1427 mW      0 mW    530 mW    765 mW    788 mW     16 mW    314 mW      2 mW      2 mW      0 mW
  21:38:54    171 mW   1094 mW      0 mW    388 mW    691 mW    573 mW     11 mW    174 mW      2 mW      0 mW      0 mW
  21:38:55   1368 mW   2204 mW      0 mW    727 mW   1375 mW   1344 mW     74 mW    353 mW      2 mW      2 mW      0 mW
  21:38:55   1429 mW   2351 mW      0 mW    615 mW   1202 mW   1388 mW     85 mW    172 mW      2 mW      2 mW      0 mW
  21:38:56   1643 mW   2703 mW      0 mW    763 mW   1415 mW   1651 mW    111 mW    344 mW      0 mW      2 mW      0 mW
  21:38:56    337 mW   1768 mW      0 mW    450 mW    764 mW    817 mW     37 mW    202 mW      2 mW      2 mW      0 mW
  21:38:56    156 mW   1099 mW      0 mW    451 mW    765 mW    675 mW     15 mW    274 mW      2 mW      2 mW      0 mW
  21:38:57    958 mW   1381 mW      0 mW    580 mW   1215 mW   1033 mW     45 mW    298 mW      2 mW      2 mW      0 mW
  21:38:57   2536 mW   1789 mW      0 mW    706 mW   1306 mW   1630 mW    147 mW    235 mW      2 mW      2 mW      0 mW
  21:38:58   2514 mW   1916 mW      0 mW    669 mW   1325 mW   1421 mW    128 mW    319 mW      2 mW      0 mW      0 mW
  21:38:58   2379 mW   1892 mW      0 mW    523 mW   1230 mW   1360 mW    111 mW    173 mW      2 mW      2 mW      0 mW
  21:38:59   2185 mW   1690 mW      0 mW    579 mW   1315 mW   1368 mW    113 mW    333 mW      2 mW      2 mW      0 mW
  21:38:59   2477 mW   1852 mW      0 mW    532 mW   1222 mW   1366 mW    124 mW    183 mW      0 mW      2 mW      0 mW
  21:39:00    880 mW   1801 mW      0 mW    442 mW    848 mW    901 mW     60 mW    309 mW      2 mW      2 mW      0 mW
  21:39:00     70 mW   1194 mW      0 mW    331 mW    682 mW    657 mW      9 mW    259 mW      2 mW      2 mW      0 mW
