# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/013-pwrctrl-recipe-sweep/raw/20260428T222216.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/013-pwrctrl-recipe-sweep/raw/20260428T222216-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  22:22:59    413 mW   1866 mW      0 mW    536 mW    817 mW   1002 mW     33 mW    335 mW      0 mW      2 mW      0 mW
  22:22:59    394 mW   2082 mW      0 mW    521 mW    810 mW    939 mW     31 mW    327 mW      2 mW      2 mW      0 mW
  22:23:00    373 mW   2067 mW      0 mW    532 mW    787 mW   1073 mW     31 mW    317 mW      2 mW      2 mW      0 mW
  22:23:00    394 mW   1706 mW      0 mW    395 mW    610 mW    765 mW     32 mW    321 mW      2 mW      2 mW      0 mW
  22:23:01    361 mW   1679 mW      0 mW    415 mW    673 mW    853 mW     27 mW    307 mW      2 mW      2 mW      0 mW
  22:23:01    400 mW   1583 mW      0 mW    445 mW    775 mW    978 mW     33 mW    325 mW      2 mW      0 mW      0 mW
  22:23:02    379 mW   1647 mW      0 mW    414 mW    706 mW    873 mW     31 mW    321 mW      2 mW      2 mW      0 mW
  22:23:02    384 mW   1558 mW      0 mW    424 mW    739 mW    931 mW     29 mW    325 mW      2 mW      2 mW      0 mW
  22:23:03    393 mW   2106 mW      0 mW    532 mW    799 mW   1019 mW     31 mW    325 mW      0 mW      2 mW      0 mW
  22:23:03    423 mW   1794 mW      0 mW    444 mW    800 mW    914 mW     33 mW    335 mW      2 mW      2 mW      0 mW
  22:23:03    481 mW   2087 mW      0 mW    461 mW   1014 mW   1012 mW     37 mW    315 mW      2 mW      2 mW      0 mW
  22:23:04    809 mW   2830 mW      0 mW    625 mW   1199 mW   1503 mW     71 mW    322 mW      2 mW      2 mW      0 mW
  22:23:04    517 mW   2867 mW      0 mW    566 mW   1184 mW   1375 mW     54 mW    331 mW      2 mW      2 mW      0 mW
  22:23:05    499 mW   2431 mW      0 mW    537 mW   1135 mW   1162 mW     39 mW    328 mW      2 mW      2 mW      0 mW
  22:23:05    487 mW   2571 mW      0 mW    565 mW   1146 mW   1306 mW     49 mW    318 mW      2 mW      0 mW      0 mW
  22:23:06    413 mW   2405 mW      0 mW    556 mW   1148 mW   1273 mW     34 mW    321 mW      0 mW      2 mW      0 mW
  22:23:06    663 mW   2316 mW      0 mW    562 mW   1168 mW   1334 mW     48 mW    327 mW      2 mW      2 mW      0 mW
  22:23:06    650 mW   2877 mW      0 mW    557 mW   1100 mW   1334 mW     62 mW    317 mW      2 mW      2 mW      0 mW
  22:23:07    731 mW   3028 mW      0 mW    571 mW   1132 mW   1404 mW     67 mW    325 mW      2 mW      2 mW      0 mW
  22:23:07    744 mW   2978 mW      0 mW    573 mW   1168 mW   1412 mW     70 mW    321 mW      2 mW      2 mW      0 mW
  22:23:08    447 mW   2640 mW      0 mW    519 mW   1044 mW   1328 mW     43 mW    304 mW      2 mW      0 mW      0 mW
  22:23:08    620 mW   2368 mW      0 mW    532 mW   1161 mW   1260 mW     48 mW    341 mW      2 mW      2 mW      0 mW
  22:23:08    790 mW   2866 mW      0 mW    592 mW   1167 mW   1497 mW     75 mW    320 mW      0 mW      2 mW      0 mW
  22:23:09    838 mW   2791 mW      0 mW    632 mW   1219 mW   1611 mW     70 mW    316 mW      2 mW      2 mW      0 mW
  22:23:09    923 mW   2642 mW      0 mW    568 mW   1149 mW   1525 mW     76 mW    314 mW      2 mW      2 mW      0 mW
  22:23:10    961 mW   3001 mW      0 mW    660 mW   1301 mW   1672 mW     79 mW    337 mW      2 mW      2 mW      0 mW
  22:23:10    834 mW   2722 mW      0 mW    584 mW   1184 mW   1526 mW     73 mW    322 mW      2 mW      0 mW      0 mW
  22:23:11    892 mW   2868 mW      0 mW    663 mW   1290 mW   1711 mW     74 mW    321 mW      2 mW      2 mW      0 mW
  22:23:11    818 mW   2749 mW      0 mW    601 mW   1216 mW   1571 mW     69 mW    317 mW      0 mW      2 mW      0 mW
  22:23:11    906 mW   2696 mW      0 mW    570 mW   1178 mW   1554 mW     75 mW    326 mW      2 mW      2 mW      0 mW
  22:23:12    807 mW   2672 mW      0 mW    563 mW   1114 mW   1484 mW     69 mW    308 mW      2 mW      2 mW      0 mW
  22:23:12    993 mW   2910 mW      0 mW    664 mW   1325 mW   1727 mW     79 mW    335 mW      2 mW      2 mW      0 mW
  22:23:13    849 mW   2774 mW      0 mW    612 mW   1161 mW   1514 mW     69 mW    307 mW      2 mW      2 mW      0 mW
  22:23:13    566 mW   2431 mW      0 mW    550 mW   1089 mW   1404 mW     51 mW    330 mW      2 mW      0 mW      0 mW
  22:23:14    405 mW   1980 mW      0 mW    464 mW    884 mW   1074 mW     32 mW    308 mW      2 mW      2 mW      0 mW
  22:23:14    438 mW   2081 mW      0 mW    479 mW    926 mW    988 mW     36 mW    336 mW      0 mW      2 mW      0 mW
  22:23:14    386 mW   1874 mW      0 mW    424 mW    805 mW    977 mW     29 mW    304 mW      2 mW      2 mW      0 mW
  22:23:15    439 mW   2042 mW      0 mW    493 mW    889 mW   1171 mW     34 mW    326 mW      2 mW      2 mW      0 mW
  22:23:15    433 mW   2056 mW      0 mW    476 mW    950 mW    999 mW     36 mW    339 mW      2 mW      2 mW      0 mW
  22:23:16    429 mW   2139 mW      0 mW    481 mW    896 mW   1082 mW     33 mW    322 mW      2 mW      2 mW      0 mW
  22:23:16    420 mW   1916 mW      0 mW    473 mW    951 mW   1155 mW     33 mW    323 mW      2 mW      0 mW      0 mW
  22:23:17    423 mW   2054 mW      0 mW    469 mW    845 mW   1044 mW     32 mW    312 mW      2 mW      2 mW      0 mW
  22:23:17    428 mW   1981 mW      0 mW    441 mW    884 mW   1019 mW     33 mW    331 mW      0 mW      2 mW      0 mW
  22:23:17    409 mW   2004 mW      0 mW    492 mW    927 mW   1144 mW     33 mW    322 mW      2 mW      2 mW      0 mW
  22:23:18    420 mW   2486 mW      0 mW    526 mW    969 mW   1138 mW     32 mW    318 mW      2 mW      2 mW      0 mW
  22:23:18    394 mW   1913 mW      0 mW    490 mW    787 mW    984 mW     32 mW    320 mW      2 mW      2 mW      0 mW
  22:23:19    389 mW   1783 mW      0 mW    452 mW    742 mW    902 mW     29 mW    313 mW      2 mW      2 mW      0 mW
  22:23:19    397 mW   1630 mW      0 mW    449 mW    840 mW    980 mW     33 mW    326 mW      2 mW      0 mW      0 mW
  22:23:20    419 mW   2241 mW      0 mW    617 mW    905 mW   1260 mW     32 mW    329 mW      2 mW      2 mW      0 mW
  22:23:20    407 mW   1848 mW      0 mW    482 mW    806 mW   1049 mW     31 mW    334 mW      0 mW      2 mW      0 mW
  22:23:20    403 mW   1925 mW      0 mW    452 mW    746 mW    887 mW     30 mW    325 mW      2 mW      2 mW      0 mW
  22:23:21    404 mW   1993 mW      0 mW    489 mW    773 mW    980 mW     31 mW    334 mW      2 mW      2 mW      0 mW
  22:23:21    389 mW   1897 mW      0 mW    484 mW    737 mW    943 mW     31 mW    309 mW      2 mW      2 mW      0 mW
  22:23:22    416 mW   1998 mW      0 mW    481 mW    722 mW    920 mW     31 mW    332 mW      2 mW      2 mW      0 mW
  22:23:22    435 mW   1913 mW      0 mW    481 mW    760 mW    899 mW     33 mW    343 mW      2 mW      0 mW      0 mW
  22:23:23    397 mW   1971 mW      0 mW    498 mW    730 mW    938 mW     31 mW    315 mW      2 mW      2 mW      0 mW
  22:23:23    857 mW   1967 mW      0 mW    544 mW   1059 mW   1167 mW     58 mW    352 mW      2 mW      2 mW      0 mW
  22:23:23    719 mW   2215 mW      0 mW    584 mW   1246 mW   1335 mW     70 mW    326 mW      0 mW      2 mW      0 mW
  22:23:24    836 mW   2115 mW      0 mW    570 mW   1231 mW   1300 mW     71 mW    328 mW      2 mW      2 mW      0 mW
  22:23:24    605 mW   4321 mW      0 mW    804 mW   1390 mW   1674 mW     60 mW    330 mW      2 mW      2 mW      0 mW
  22:23:25    708 mW   3289 mW      0 mW    636 mW   1247 mW   1304 mW     50 mW    316 mW      2 mW      2 mW      0 mW
  22:23:25    780 mW   2078 mW      0 mW    560 mW   1258 mW   1250 mW     70 mW    343 mW      2 mW      0 mW      0 mW
  22:23:26    592 mW   2103 mW      0 mW    546 mW   1196 mW   1210 mW     59 mW    324 mW      2 mW      2 mW      0 mW
  22:23:26    733 mW   1986 mW      0 mW    485 mW   1153 mW   1010 mW     55 mW    317 mW      0 mW      2 mW      0 mW
  22:23:26    880 mW   2072 mW      0 mW    574 mW   1255 mW   1387 mW     79 mW    348 mW      2 mW      2 mW      0 mW
  22:23:27    745 mW   2246 mW      0 mW    567 mW   1220 mW   1259 mW     69 mW    311 mW      2 mW      2 mW      0 mW
  22:23:27    758 mW   2080 mW      0 mW    582 mW   1274 mW   1286 mW     69 mW    345 mW      2 mW      2 mW      0 mW
  22:23:28    563 mW   2103 mW      0 mW    542 mW   1199 mW   1208 mW     52 mW    325 mW      2 mW      2 mW      0 mW
  22:23:28    487 mW   1819 mW      0 mW    451 mW   1086 mW    878 mW     38 mW    314 mW      2 mW      0 mW      0 mW
  22:23:29    493 mW   1959 mW      0 mW    523 mW   1230 mW   1029 mW     36 mW    345 mW      2 mW      2 mW      0 mW
  22:23:29    731 mW   1845 mW      0 mW    495 mW   1166 mW   1103 mW     53 mW    332 mW      0 mW      2 mW      0 mW
  22:23:29    860 mW   2177 mW      0 mW    576 mW   1212 mW   1335 mW     70 mW    329 mW      2 mW      2 mW      0 mW
  22:23:30    801 mW   2447 mW      0 mW    611 mW   1228 mW   1300 mW     74 mW    328 mW      2 mW      2 mW      0 mW
  22:23:30    665 mW   2063 mW      0 mW    546 mW   1181 mW   1178 mW     60 mW    327 mW      2 mW      2 mW      0 mW
  22:23:31    542 mW   2302 mW      0 mW    634 mW   1277 mW   1289 mW     54 mW    329 mW      2 mW      0 mW      0 mW
  22:23:31    458 mW   1950 mW      0 mW    492 mW   1178 mW    885 mW     35 mW    327 mW      2 mW      2 mW      0 mW
  22:23:31    560 mW   1921 mW      0 mW    520 mW   1180 mW   1067 mW     48 mW    331 mW      0 mW      2 mW      0 mW
  22:23:32    694 mW   1972 mW      0 mW    545 mW   1191 mW   1254 mW     50 mW    329 mW      2 mW      2 mW      0 mW
  22:23:32    764 mW   2137 mW      0 mW    613 mW   1261 mW   1368 mW     66 mW    328 mW      2 mW      2 mW      0 mW
  22:23:33    791 mW   3103 mW      0 mW    700 mW   1296 mW   1471 mW     72 mW    326 mW      2 mW      2 mW      0 mW
  22:23:33    502 mW   2013 mW      0 mW    561 mW   1088 mW   1280 mW     54 mW    329 mW      2 mW      0 mW      0 mW
  22:23:34    501 mW   2683 mW      0 mW    689 mW   1236 mW   1421 mW     43 mW    330 mW      2 mW      2 mW      0 mW
  22:23:34    429 mW   1853 mW      0 mW    445 mW   1024 mW    878 mW     33 mW    326 mW      0 mW      2 mW      0 mW
  22:23:34    422 mW   1739 mW      0 mW    461 mW   1083 mW    981 mW     31 mW    330 mW      2 mW      2 mW      0 mW
  22:23:35    424 mW   1970 mW      0 mW    491 mW   1031 mW    956 mW     31 mW    326 mW      2 mW      2 mW      0 mW
  22:23:35    432 mW   1760 mW      0 mW    482 mW   1051 mW   1037 mW     31 mW    329 mW      2 mW      2 mW      0 mW
