iso_ts,monotonic_ns,device_util_pct,renderer_util_pct,tiler_util_pct,in_use_system_memory_bytes,recovery_count,ioreg_subprocess_ms
2026-04-28T14:16:44.399236,13482446692666,0,0,0,1426046976,0,22.661
2026-04-28T14:16:44.495466,13482542659916,0,0,0,1426046976,0,22.922
2026-04-28T14:16:44.598990,13482646865916,0,0,0,1425850368,0,22.243
2026-04-28T14:16:44.700092,13482746864916,0,0,0,1425850368,0,23.315
2026-04-28T14:16:44.792181,13482843342125,0,0,0,1425850368,0,18.95
2026-04-28T14:16:44.895855,13482943802416,0,0,0,1425850368,0,22.164
2026-04-28T14:16:44.997729,13483046865208,0,0,0,1425850368,0,20.976
2026-04-28T14:16:45.097521,13483146861166,0,0,0,1425850368,0,20.774
2026-04-28T14:16:45.198577,13483246863125,0,0,0,1426096128,0,21.819
2026-04-28T14:16:45.298612,13483346872791,0,0,0,1425981440,0,21.85
2026-04-28T14:16:45.398102,13483446870833,0,0,0,1425981440,0,21.346
2026-04-28T14:16:45.498857,13483546868125,0,0,0,1425981440,0,22.105
2026-04-28T14:16:45.598526,13483646521708,0,0,0,1425981440,0,22.11
2026-04-28T14:16:45.689784,13483741962250,0,0,0,1425981440,0,17.936
2026-04-28T14:16:45.795913,13483845937750,0,0,0,1425981440,0,20.088
2026-04-28T14:16:45.896893,13483945952958,0,0,0,1425981440,0,21.042
2026-04-28T14:16:45.995583,13484044143208,0,0,0,1425981440,0,21.539
2026-04-28T14:16:46.097879,13484146866375,0,0,0,1425981440,0,21.125
2026-04-28T14:16:46.195877,13484245011333,0,0,0,1426178048,0,20.967
2026-04-28T14:16:46.298350,13484345948875,0,0,0,1425801216,0,22.515
2026-04-28T14:16:46.400029,13484446873916,0,0,0,1425801216,0,23.261
2026-04-28T14:16:46.499694,13484546869166,0,0,0,1425801216,0,22.939
2026-04-28T14:16:46.600739,13484646864208,0,0,0,1425801216,0,23.984
2026-04-28T14:16:46.693888,13484746874250,0,0,0,1425801216,0,17.13
2026-04-28T14:16:46.797321,13484846871916,0,0,0,1425801216,0,20.561
2026-04-28T14:16:46.898703,13484946861208,0,0,0,1425801216,0,21.955
2026-04-28T14:16:47.000153,13485046864125,0,0,0,1425801216,0,23.399
2026-04-28T14:16:47.096620,13485144710583,0,0,0,1425801216,0,22.019
2026-04-28T14:16:47.195274,13485242696583,0,0,0,1426046976,0,22.681
2026-04-28T14:16:47.295586,13485342154083,0,0,0,1425850368,0,23.543
2026-04-28T14:16:47.396492,13485444109750,0,0,0,1425850368,0,22.49
2026-04-28T14:16:47.499944,13485546869125,0,0,0,1655406592,0,23.177
2026-04-28T14:16:47.598983,13485646880458,0,0,0,1655406592,0,22.212
2026-04-28T14:16:47.691898,13485743236583,0,0,0,1655406592,0,18.77
2026-04-28T14:16:47.798231,13485846880625,0,0,0,1655406592,0,21.447
2026-04-28T14:16:47.896556,13485944618333,0,0,0,1655406592,0,22.044
2026-04-28T14:16:47.996791,13486044166541,0,0,0,1655406592,0,22.719
2026-04-28T14:16:48.096984,13486146876791,0,0,0,1655603200,0,20.211
