# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/017-mps-gemm-ceiling/raw/20260505T165356.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/017-mps-gemm-ceiling/raw/20260505T165356-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  16:55:13   9825 mW   1955 mW      0 mW  11760 mW   4920 mW   7881 mW   3472 mW    479 mW      5 mW      5 mW      0 mW
  16:55:13   9767 mW   1901 mW      0 mW  11712 mW   4895 mW   7853 mW   3466 mW    475 mW      5 mW      2 mW      0 mW
  16:55:14   9846 mW   1865 mW      0 mW  11730 mW   4904 mW   7864 mW   3467 mW    475 mW      5 mW      5 mW      0 mW
  16:55:14   9471 mW   2012 mW      0 mW  11268 mW   4718 mW   7554 mW   3331 mW    459 mW      2 mW      4 mW      0 mW
  16:55:15  10252 mW   1920 mW      0 mW  12277 mW   5129 mW   8222 mW   3631 mW    495 mW      5 mW      5 mW      0 mW
  16:55:15   5793 mW   1822 mW      0 mW   7800 mW   3352 mW   5287 mW   2280 mW    441 mW      4 mW      2 mW      0 mW
  16:55:16     69 mW   1133 mW      0 mW    390 mW    632 mW    711 mW      4 mW    473 mW      4 mW      4 mW      0 mW
  16:55:16     15 mW   1053 mW      0 mW    333 mW    599 mW    604 mW      2 mW    502 mW      2 mW      4 mW      0 mW
  16:55:17     48 mW   1056 mW      0 mW    327 mW    554 mW    605 mW      2 mW    487 mW      4 mW      4 mW      0 mW
  16:55:17     28 mW   1086 mW      0 mW    304 mW    539 mW    571 mW      2 mW    475 mW      4 mW      4 mW      0 mW
  16:55:18     22 mW   1001 mW      0 mW    292 mW    495 mW    535 mW      2 mW    460 mW      4 mW      2 mW      0 mW
  16:55:18     31 mW    954 mW      0 mW    289 mW    509 mW    554 mW      0 mW    490 mW      4 mW      4 mW      0 mW
