# IOReport telemetry  interval=250ms  csv=/Users/vanreece/dev/metal_ml_lab/experiments/017-mps-gemm-ceiling/raw/20260505T065707.csv  states_csv=/Users/vanreece/dev/metal_ml_lab/experiments/017-mps-gemm-ceiling/raw/20260505T065707-states.csv
# Ctrl-C to stop
# time        gpu mW    cpu mW    ane mW   dram mW   amcc mW    dcs mW    afr mW   disp mW    isp mW    ave mW  gpu_sram mW
  06:58:04   2222 mW   3250 mW      0 mW    850 mW   1357 mW   1671 mW    385 mW    284 mW      5 mW      5 mW      0 mW
  06:58:05    556 mW   1865 mW      0 mW    694 mW    841 mW    846 mW     53 mW    319 mW      2 mW      4 mW      0 mW
  06:58:05    609 mW   1708 mW      0 mW    657 mW    768 mW    836 mW     59 mW    353 mW      5 mW      5 mW      0 mW
  06:58:06   1773 mW   4272 mW      0 mW    955 mW   1392 mW   1847 mW    143 mW    334 mW      5 mW      2 mW      0 mW
  06:58:06   1269 mW   3782 mW      0 mW    848 mW   1346 mW   1756 mW    131 mW    281 mW      5 mW      5 mW      0 mW
  06:58:07    489 mW   1683 mW      0 mW    600 mW    820 mW    846 mW     45 mW    300 mW      2 mW      4 mW      0 mW
  06:58:07    630 mW   1705 mW      0 mW    680 mW    841 mW    859 mW     58 mW    347 mW      4 mW      4 mW      0 mW
  06:58:07   1667 mW   4274 mW      0 mW    996 mW   1446 mW   1883 mW    146 mW    337 mW      5 mW      2 mW      0 mW
  06:58:08    895 mW   3372 mW      0 mW    761 mW   1280 mW   1664 mW    106 mW    276 mW      4 mW      4 mW      0 mW
  06:58:08    499 mW   1557 mW      0 mW    591 mW    849 mW    832 mW     44 mW    294 mW      4 mW      4 mW      0 mW
  06:58:09    612 mW   1535 mW      0 mW    608 mW    788 mW    743 mW     52 mW    344 mW      5 mW      5 mW      0 mW
  06:58:09   1836 mW   4116 mW      0 mW   1032 mW   1503 mW   1880 mW    159 mW    308 mW      2 mW      5 mW      0 mW
  06:58:10   1065 mW   3211 mW      0 mW    716 mW   1200 mW   1541 mW    121 mW    263 mW      4 mW      2 mW      0 mW
  06:58:10    511 mW   1461 mW      0 mW    622 mW    923 mW    970 mW     44 mW    314 mW      4 mW      4 mW      0 mW
  06:58:11    657 mW   1772 mW      0 mW    678 mW    820 mW    787 mW     58 mW    367 mW      5 mW      5 mW      0 mW
  06:58:11   2146 mW   4080 mW      0 mW    910 mW   1436 mW   1949 mW    198 mW    336 mW      5 mW      5 mW      0 mW
  06:58:11   1255 mW   3362 mW      0 mW    755 mW   1264 mW   1656 mW    170 mW    261 mW      2 mW      4 mW      0 mW
  06:58:12    531 mW   1578 mW      0 mW    553 mW    773 mW    721 mW     45 mW    327 mW      4 mW      2 mW      0 mW
  06:58:12    646 mW   1475 mW      0 mW    583 mW    728 mW    772 mW     53 mW    328 mW      4 mW      4 mW      0 mW
  06:58:13   3470 mW   2989 mW      0 mW    882 mW   1488 mW   1873 mW    342 mW    351 mW      5 mW      5 mW      0 mW
  06:58:13   4421 mW   3733 mW      0 mW    856 mW   1460 mW   1904 mW    500 mW    295 mW      5 mW      5 mW      0 mW
  06:58:14    596 mW   1992 mW      0 mW    592 mW    905 mW    963 mW    112 mW    317 mW      2 mW      4 mW      0 mW
