attempt_idx,phase,idx_within_phase,attempt_pid,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
1,measured,20,28258,26397969664833,26397969758291,26397969764666,6375,14875,2334,131750,148959
1,measured,21,28258,26397974390666,26397974468625,26397974475291,6666,8375,2542,141917,152834
1,measured,22,28258,26397979362708,26397979465750,26397979472916,7166,8542,2333,202125,213000
1,measured,23,28258,26397984178000,26397984243375,26397984249583,6208,8416,2084,118958,129458
1,measured,24,28258,26397988969291,26397989072083,26397989078958,6875,6542,1833,175083,183458
1,measured,25,28258,26397993985583,26397994048500,26397994054916,6416,6750,2083,114083,122916
1,measured,26,28258,26397998779833,26397998855208,26397998862333,7125,8959,2166,139750,150875
1,measured,27,28258,26398003755333,26398003818166,26398003824375,6209,5708,2250,117875,125833
1,measured,28,28258,26398008549208,26398008613541,26398008619583,6042,5750,2250,117542,125542
1,measured,29,28258,26398013338625,26398013420041,26398013426500,6459,6375,1875,139333,147583
1,measured,30,28258,26398018313250,26398018381958,26398018388416,6458,7458,2958,124125,134541
1,measured,31,28258,26398023104458,26398023207166,26398023213750,6584,6709,2083,181750,190542
1,measured,32,28258,26398028025625,26398028130875,26398028137833,6958,7417,2750,171875,182042
1,measured,33,28258,26398032858875,26398032959208,26398032963208,4000,7000,2167,329291,338458
1,measured,34,28258,26398037573750,26398037673666,26398037677916,4250,6917,2458,177458,186833
1,measured,35,28258,26398042648625,26398042718583,26398042722166,3583,6875,2375,120875,130125
1,measured,36,28258,26398046907625,26398047003166,26398047007166,4000,7750,2667,169541,179958
1,measured,37,28258,26398051405708,26398051500041,26398051503333,3292,8000,2875,164458,175333
1,measured,38,28258,26398054963750,26398055044500,26398055047625,3125,7416,2459,130750,140625
1,measured,39,28258,26398058628000,26398058691541,26398058694916,3375,6083,2084,115833,124000
1,measured,40,28258,26398061969750,26398062043666,26398062046500,2834,6959,2625,127125,136709
1,measured,41,28258,26398065417708,26398065508625,26398065511458,2833,7625,5042,151375,164042
1,measured,42,28258,26398068968750,26398069031041,26398069034875,3834,5917,2041,113250,121208
1,measured,43,28258,26398072573083,26398072656541,26398072660333,3792,5833,1792,141000,148625
1,measured,44,28258,26398075875125,26398075931208,26398075934708,3500,7000,2041,99792,108833
1,measured,45,28258,26398078938958,26398078996708,26398079000666,3958,6584,1958,116583,125125
1,measured,46,28258,26398082181708,26398082233208,26398082237083,3875,6167,1792,106208,114167
1,measured,47,28258,26398085723083,26398085779333,26398085785583,6250,7417,2125,90667,100209
1,measured,48,28258,26398089473083,26398089528291,26398089534500,6209,7458,2334,92250,102042
1,measured,49,28258,26398093361750,26398093412708,26398093419083,6375,6458,2250,91625,100333
1,measured,50,28258,26398097034875,26398097088750,26398097095375,6625,5875,3792,93958,103625
1,measured,51,28258,26398100968958,26398101023250,26398101029416,6166,6333,1917,95625,103875
1,measured,52,28258,26398104688333,26398104743291,26398104749875,6584,5292,1708,106875,113875
1,measured,53,28258,26398108695833,26398108748916,26398108755208,6292,6334,2125,92750,101209
1,measured,54,28258,26398112419333,26398112475750,26398112482208,6458,7000,2167,94000,103167
1,measured,55,28258,26398116046041,26398116096500,26398116102791,6291,6291,2125,104125,112541
1,measured,56,28258,26398119699791,26398119754208,26398119760458,6250,7084,2166,87042,96292
1,measured,57,28258,26398123109833,26398123163750,26398123170083,6333,7875,2125,85625,95625
1,measured,58,28258,26398126638583,26398126690208,26398126696666,6458,7166,2084,89083,98333
1,measured,59,28258,26398130321041,26398130376708,26398130383000,6292,9917,2292,88166,100375
1,measured,60,28258,26398133827166,26398133880208,26398133886333,6125,7250,2583,91042,100875
1,measured,61,28258,26398137383250,26398137436500,26398137443000,6500,7292,2416,94000,103708
1,measured,62,28258,26398140813416,26398140866708,26398140873125,6417,7292,2167,85541,95000
1,measured,63,28258,26398144438375,26398144493791,26398144499958,6167,8542,2333,97375,108250
1,measured,64,28258,26398147937250,26398147988250,26398147994416,6166,7042,2041,90834,99917
1,measured,65,28258,26398151472708,26398151524583,26398151530916,6333,7459,2208,90125,99792
1,measured,66,28258,26398154966625,26398155016291,26398155022666,6375,5042,1583,86333,92958
1,measured,67,28258,26398158494041,26398158548291,26398158554541,6250,7208,2667,96958,106833
1,measured,68,28258,26398161987625,26398162039875,26398162045833,5958,6958,2209,90958,100125
1,measured,69,28258,26398165418625,26398165467125,26398165473458,6333,6291,1667,87125,95083
1,measured,70,28258,26398169091208,26398169144166,26398169150708,6542,7458,2417,88916,98791
1,measured,71,28258,26398172539333,26398172592833,26398172599208,6375,7250,2042,85917,95209
1,measured,72,28258,26398176100833,26398176152791,26398176159125,6334,6917,2041,93834,102792
1,measured,73,28258,26398179719041,26398179771000,26398179777500,6500,6458,2209,91000,99667
1,measured,74,28258,26398183332500,26398183386791,26398183393166,6375,6167,1958,98875,107000
1,measured,75,28258,26398186908083,26398186960583,26398186966791,6208,7292,2208,89292,98792
1,measured,76,28258,26398190368916,26398190422291,26398190428333,6042,7292,2125,86875,96292
1,measured,77,28258,26398193922041,26398193976625,26398193982833,6208,7791,2292,92125,102208
1,measured,78,28258,26398197556041,26398197609250,26398197615916,6666,8166,2125,101334,111625
1,measured,79,28258,26398201273250,26398201328958,26398201335208,6250,7666,2042,90417,100125
1,measured,80,28258,26398204819583,26398204872708,26398204878916,6208,6959,2416,85834,95209
1,measured,81,28258,26398208328708,26398208383083,26398208389458,6375,6542,4583,94750,105875
1,measured,82,28258,26398211949291,26398212004958,26398212011958,7000,6291,2000,108875,117166
1,measured,83,28258,26398215669041,26398215722958,26398215729083,6125,8292,2458,85750,96500
2,calibration,0,28261,26405332172000,26405338051958,26405338063666,11708,849875,49167,5140167,6039209
2,calibration,1,28261,26405338336166,26405338808125,26405338818041,9916,26209,12000,586791,625000
2,calibration,2,28261,26405338999375,26405339425375,26405339434708,9333,14750,5875,543458,564083
2,calibration,3,28261,26405339601666,26405339999875,26405340009083,9208,26125,7292,502208,535625
2,calibration,4,28261,26405340179166,26405340572750,26405340581458,8708,22709,11458,467000,501167
