axis,complexity_level,sweep_idx,trial_idx_within_combo,wall_clock_ns,gpu_t_start_raw,gpu_t_end_raw,gpu_delta_raw,cpu_encode_ns,cpu_commit_ns,cpu_wait_ns,cpu_total_ns
write_tid_threadcount,32,0,127,5589857436166,5589857507416,5589857513500,6084,8125,2875,114125,125125
write_tid_threadcount,32,0,128,5589857711916,5589857787583,5589857794083,6500,7916,2750,121792,132458
write_tid_threadcount,32,0,129,5589857995208,5589858066416,5589858072541,6125,6500,2292,122083,130875
write_tid_threadcount,32,0,130,5589858275583,5589858352625,5589858359041,6416,8417,3042,133583,145042
write_tid_threadcount,32,0,131,5589858561958,5589858627500,5589858633708,6208,6541,2209,113166,121916
write_tid_threadcount,32,0,132,5589858817125,5589858883375,5589858889625,6250,6458,2292,114875,123625
write_tid_threadcount,32,0,133,5589859092833,5589859166333,5589859172416,6083,6375,2208,128667,137250
write_tid_threadcount,32,0,134,5589859385500,5589859454083,5589859460500,6417,6709,2333,120458,129500
write_tid_threadcount,32,0,135,5589859653375,5589859728625,5589859734958,6333,6500,2125,140125,148750
write_tid_threadcount,32,0,136,5589859948416,5589860011875,5589860018250,6375,6083,2084,112500,120667
write_tid_threadcount,32,0,137,5589860213458,5589860284250,5589860290375,6125,5958,2167,135916,144041
write_tid_threadcount,32,0,138,5589860507458,5589860587625,5589860593958,6333,6833,2375,127167,136375
write_tid_threadcount,32,0,139,5589860781541,5589860854458,5589860860625,6167,6208,2250,133459,141917
write_tid_threadcount,32,0,140,5589861070958,5589861135333,5589861141833,6500,6125,2000,115000,123125
write_tid_threadcount,32,0,141,5589861342708,5589861414708,5589861420958,6250,6000,2166,133042,141208
write_tid_threadcount,32,0,142,5589861631875,5589861702125,5589861708625,6500,6167,2208,118209,126584
write_tid_threadcount,32,0,143,5589861888958,5589861959833,5589861966125,6292,6084,2125,129750,137959
write_tid_threadcount,32,0,144,5589862178291,5589862250250,5589862256791,6541,6042,2291,130875,139208
write_tid_threadcount,32,0,145,5589862467375,5589862531750,5589862538000,6250,6084,2083,262542,270709
write_tid_threadcount,32,0,146,5589862886416,5589862950958,5589862957208,6250,6041,2125,112417,120583
write_tid_threadcount,32,0,147,5589863137458,5589863201708,5589863207875,6167,6042,2042,112791,120875
write_tid_threadcount,32,0,148,5589863408166,5589863480625,5589863487125,6500,6083,2167,134292,142542
write_tid_threadcount,32,0,149,5589863700500,5589863771750,5589863777875,6125,6083,2125,120459,128667
write_tid_threadcount,32,0,150,5589863961458,5589864033958,5589864040416,6458,6042,2083,129417,137542
write_tid_threadcount,32,0,151,5589864245000,5589864317083,5589864323333,6250,6042,2083,124542,132667
write_tid_threadcount,32,0,152,5589864510541,5589864566708,5589864573083,6375,6291,2209,103708,112208
write_tid_threadcount,32,0,153,5589864946708,5589865009166,5589865015541,6375,6208,2125,111250,119583
write_tid_threadcount,32,0,154,5589865210375,5589865283750,5589865290250,6500,6500,2083,137000,145583
write_tid_threadcount,32,0,155,5589865500625,5589865571166,5589865577333,6167,6209,2125,122208,130542
write_tid_threadcount,32,0,156,5589865766166,5589865838916,5589865845291,6375,6375,2125,139500,148000
write_tid_threadcount,32,0,157,5589866066666,5589866139625,5589866145750,6125,6333,2250,135750,144333
write_tid_threadcount,32,0,158,5589866348250,5589866413875,5589866420125,6250,8250,2125,115875,126250
write_tid_threadcount,32,0,159,5589866631958,5589866704333,5589866710541,6208,6083,1917,121166,129166
write_tid_threadcount,32,0,160,5589866895583,5589866967541,5589866973958,6417,6125,2250,123083,131458
write_tid_threadcount,32,0,161,5589867169625,5589867241375,5589867247666,6291,6083,2084,125166,133333
write_tid_threadcount,32,0,162,5589867441125,5589867504250,5589867510666,6416,6000,2125,110167,118292
write_tid_threadcount,32,0,163,5589867687916,5589867751916,5589867758125,6209,6000,2083,116750,124833
write_tid_threadcount,32,0,164,5589867955666,5589868028375,5589868034750,6375,6042,2250,124750,133042
write_tid_threadcount,32,0,165,5589868237041,5589868310375,5589868316625,6250,5958,2209,123541,131708
write_tid_threadcount,32,0,166,5589868496000,5589868567333,5589868573750,6417,6042,2042,129416,137500
write_tid_threadcount,32,0,167,5589868782708,5589868855625,5589868861916,6291,6125,2041,133584,141750
write_tid_threadcount,32,0,168,5589869074541,5589869137833,5589869144166,6333,6083,2042,111792,119917
write_tid_threadcount,32,0,169,5589869350458,5589869445416,5589869451416,6000,8084,3458,134792,146334
write_tid_threadcount,32,0,170,5589869630041,5589869706750,5589869713208,6458,8667,2792,120916,132375
write_tid_threadcount,32,0,171,5589869910708,5589869985000,5589869991208,6208,8125,2292,118208,128625
write_tid_threadcount,32,0,172,5589870178166,5589870242333,5589870248666,6333,6291,2250,108292,116833
